GTIN,ItemCode,ItemName
3574661805900,3574661805900,OGX ROSEMARY MINT COND.385M
3574661625881,3574661625881,OGX ARGAN OIL OF MOROCCO SHAMP.577M
3574661625898,3574661625898,OGX ARGAN OIL OF MOROCCO COND.577M
3574661626307,3574661626307,OGX COCONUT MILK SHAMP.577M
3574661626314,3574661626314,OGX COCONUT MILK COND.577M
3574661626321,3574661626321,OGX BIOTIN&COLLAGEN SHAMP.577M
3574661626338,3574661626338,OGX BIOTIN&COLLAGEN COND.577M
3574661805931,3574661805931,OGX ROSEMARY MINT SHAMP.385M
5060372800269,5060372800269,DR.PAWPAW ORIGINAL BALM 10M
5060372800542,5060372800542,DR.PAWPAW TINTED PEACH PINK BALM 10M
5060372800689,5060372800689,DR.PAWPAW TINTED RICH MOCHA BALM 10M
6223014460569,6223014460569,NIMBUS A.DAND.SHAMP.F/OILY&DRY 200M
6223014460583,6223014460583,NIMBUS A.DAND.COND.F/OILY&DRY 250GM
6224001770159,6224001770159,ASTROIDA FEM.FOAMING SHAVING GEL F/W120M
